link,downloaded,file_name
https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/62b151c7486c984d6aacb1d3/original/data-driven-many-body-potential-energy-functions-for-generic-molecules-linear-alkanes-as-a-proof-of-concept-application.pdf,True,pdf_new/data-driven-many-body-potential-energy-functions-for-generic-molecules-linear-alkanes-as-a-proof-of-concept-application.pdf
https://www.mdpi.com/2073-4360/12/9/2160/pdf,True,pdf_new/pdf
https://wvvw.easychair.org/publications/preprint_download/nzJ3,True,pdf_new/nzJ3
https://www.researchgate.net/profile/Bapi-Bera/post/Is_there_any_place_where_I_can_get_20wt_Pt_C_electochemical_HER_data/attachment/59d64e6e79197b80779a7c3e/AS%3A492711060963328%401494482879990/download/HER+MoS2+carbon+areogel.pdf,True,pdf_new/HER+MoS2+carbon+areogel.pdf
https://wires.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/wcms.1620,True,pdf_new/wcms.1620
https://ifst.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jfpp.17216,True,pdf_new/jfpp.17216
https://cst.kipmi.or.id/journal/article/download/757/105,True,pdf_new/105
http://repositorio.ipen.br/bitstream/handle/123456789/32970/28665.pdf?sequence=1&isAllowed=y,True,pdf_new/28665.pdf?sequence=1&isAllowed=y
https://www.academia.edu/download/47962277/Deforestation_Causes_Effects_and_Control20160810-4916-1ytgyis.pdf#page=239,True,pdf_new/Deforestation_Causes_Effects_and_Control20160810-4916-1ytgyis.pdf#page=239
https://www.diva-portal.org/smash/get/diva2:1733790/FULLTEXT01.pdf,True,pdf_new/FULLTEXT01.pdf
https://mediatum.ub.tum.de/doc/1709841/document.pdf,True,pdf_new/document.pdf
https://www.tandfonline.com/doi/pdf/10.1080/03602559.2011.618329?needAccess=true&role=button,True,pdf_new/03602559.2011.618329?needAccess=true&role=button
http://repository.futminna.edu.ng:8080/xmlui/bitstream/handle/123456789/13632/CONFE%20SETIC%202020%20BOOK%20OF%20ABSTRACT.pdf?sequence=1&isAllowed=y,True,pdf_new/CONFE%20SETIC%202020%20BOOK%20OF%20ABSTRACT.pdf?sequence=1&isAllowed=y
https://drive.google.com/file/d/1QhRzFhkaUkvdP8G3QzlFr72QKx_ECMpL/view,True,pdf_new/view
https://journals.sagepub.com/doi/pdf/10.1177/2053951720928097,True,pdf_new/2053951720928097
https://pdfs.semanticscholar.org/a1af/dd7273ede31a02dc8f4cd9f9bbdade3d409a.pdf,True,pdf_new/dd7273ede31a02dc8f4cd9f9bbdade3d409a.pdf
https://www.sciencedirect.com/science/article/am/pii/S0045782521004102,True,pdf_new/S0045782521004102
https://www.mdpi.com/2306-5354/7/3/112/pdf,True,pdf_new/pdf
http://www.ftiplastic.com/images/download/178/6.Polymer%20Technology%20Development%202b.pdf,True,pdf_new/6.Polymer%20Technology%20Development%202b.pdf
https://www.mdpi.com/2073-4360/13/3/465/pdf,True,pdf_new/pdf
https://onlinelibrary.wiley.com/doi/pdf/10.1111/jfpe.13930,True,pdf_new/jfpe.13930
http://www3.dsi.uminho.pt/seeum2011/CD/Resumos/A285.pdf,True,pdf_new/A285.pdf
https://www.sciencedirect.com/science/article/am/pii/S0168165622000025,True,pdf_new/S0168165622000025
https://research.rug.nl/files/133419322/pi.6069.pdf,True,pdf_new/pi.6069.pdf
https://openjournals.ugent.be/scad/article/id/76360/download/pdf/,False,
https://www.academia.edu/download/80916648/%CE%91.Dimopoulos_Master_Thesis__%CE%91%CE%9C_1069924.pdf,True,pdf_new/%CE%91.Dimopoulos_Master_Thesis__%CE%91%CE%9C_1069924.pdf
https://eprints.bournemouth.ac.uk/35721/7/Neurocomputing_accepted_version_Redacted.pdf,True,pdf_new/Neurocomputing_accepted_version_Redacted.pdf
https://www.researchgate.net/profile/Alexander-Baer-2/publication/261924001_Slime_protein_profiling_a_non-invasive_tool_for_species_identification_in_Onychophora_velvet_worms/links/5bc5f53992851cae21a839fe/Slime-protein-profiling-a-non-invasive-tool-for-species-identification-in-Onychophora-velvet-worms.pdf,True,pdf_new/Slime-protein-profiling-a-non-invasive-tool-for-species-identification-in-Onychophora-velvet-worms.pdf
https://onlinelibrary.wiley.com/doi/pdf/10.1002/ange.202008210,True,pdf_new/ange.202008210
https://www.cell.com/matter/pdf/S2590-2385(20)30190-9.pdf,True,pdf_new/S2590-2385(20)30190-9.pdf
